Rotation: -0.0969966659524184, Roll: 1.8332614091482407, Pitch: 18.19984986055082, Yaw: -29.945813928033154, Timestamp: 1754491029959
Rotation: -0.08975663895228925, Roll: 1.7685184951143318, Pitch: 18.92746800540175, Yaw: -29.853984050355837, Timestamp: 1754491029949
Rotation: -0.0835927631930673, Roll: 1.717628272452902, Pitch: 19.683829082744126, Yaw: -29.75610767766223, Timestamp: 1754491029939
Rotation: -0.07805180949617574, Roll: 1.67199499636626, Pitch: 20.458786451289843, Yaw: -29.662066515696786, Timestamp: 1754491029929
Rotation: -0.0724631152091062, Roll: 1.616915263641241, Pitch: 21.241743250952613, Yaw: -29.576681771476604, Timestamp: 1754491029919
Rotation: -0.06658878873333762, Roll: 1.5452105061339567, Pitch: 22.0164608349344, Yaw: -29.494001523244698, Timestamp: 1754491029909
Rotation: -0.06043596977641874, Roll: 1.4554269621869962, Pitch: 22.77049494348511, Yaw: -29.40784830038157, Timestamp: 1754491029899
Rotation: -0.0542564138232291, Roll: 1.3527025906820256, Pitch: 23.493241491156418, Yaw: -29.31389363692106, Timestamp: 1754491029889
Rotation: -0.048598155083015016, Roll: 1.2508991774829858, Pitch: 24.173028293891598, Yaw: -29.21392438968667, Timestamp: 1754491029878
Rotation: -0.04351947114261856, Roll: 1.1533524137752909, Pitch: 24.80749794337553, Yaw: -29.106570686554463, Timestamp: 1754491029871
Rotation: -0.03937524439024953, Roll: 1.0718219409458387, Pitch: 25.399195703761308, Yaw: -28.99495258959869, Timestamp: 1754491029859
Rotation: -0.036469744585402974, Roll: 1.0176397127535903, Pitch: 25.955400152315967, Yaw: -28.87910337143498, Timestamp: 1754491029849
Rotation: -0.034579065217566374, Roll: 0.9873028478337729, Pitch: 26.478071856143465, Yaw: -28.766215364540372, Timestamp: 1754491029839
Rotation: -0.033574565951115076, Roll: 0.9784933994583971, Pitch: 26.950648016119672, Yaw: -28.65934291078863, Timestamp: 1754491029829
Rotation: -0.033092902371557376, Roll: 0.9812156953525483, Pitch: 27.351701778690504, Yaw: -28.555189805225538, Timestamp: 1754491029819
Rotation: -0.032941722709362686, Roll: 0.9899868951277604, Pitch: 27.668126620800116, Yaw: -28.450247742136703, Timestamp: 1754491029809
Rotation: -0.033434393593967826, Roll: 1.0147261709705642, Pitch: 27.900250756227535, Yaw: -28.348287986712947, Timestamp: 1754491029799
Rotation: -0.03461029951118144, Roll: 1.0576906257112724, Pitch: 28.063383452935927, Yaw: -28.24797363848792, Timestamp: 1754491029789
Rotation: -0.03556551470983971, Roll: 1.0920360084315144, Pitch: 28.175436494747522, Yaw: -28.143443932494666, Timestamp: 1754491029780
Rotation: -0.03600672974701391, Roll: 1.1091600068301097, Pitch: 28.252227508720768, Yaw: -28.0384453630998, Timestamp: 1754491029769
Rotation: -0.03610224654173377, Roll: 1.1146827643603543, Pitch: 28.30756223485278, Yaw: -27.932678209164003, Timestamp: 1754491029759
Rotation: -0.036331135912846424, Roll: 1.1246347199128914, Pitch: 28.36888439769743, Yaw: -27.816595907543686, Timestamp: 1754491029749
Rotation: -0.03663609897742237, Roll: 1.1365228230350515, Pitch: 28.42035658108497, Yaw: -27.67861456880838, Timestamp: 1754491029739
Rotation: -0.03684831763992724, Roll: 1.1452648747708976, Pitch: 28.46547592533939, Yaw: -27.5150738984126, Timestamp: 1754491029729
Rotation: -0.03676403806291795, Roll: 1.1447775870117554, Pitch: 28.510306482757116, Yaw: -27.32809290567972, Timestamp: 1754491029719
Rotation: -0.03621897132950469, Roll: 1.1301710306531356, Pitch: 28.561058366879777, Yaw: -27.122789605608883, Timestamp: 1754491029708
Rotation: -0.035307031467736394, Roll: 1.104606732087316, Pitch: 28.624763478255936, Yaw: -26.900632990080826, Timestamp: 1754491029699
Rotation: -0.03433545719876019, Roll: 1.07776341440502, Pitch: 28.70501129003638, Yaw: -26.662466483234276, Timestamp: 1754491029689
Rotation: -0.03338732496079633, Roll: 1.0520338242064708, Pitch: 28.798368591323328, Yaw: -26.404131703584838, Timestamp: 1754491029679
Rotation: -0.03270244393743127, Roll: 1.0348940498534454, Pitch: 28.90291284355389, Yaw: -26.115847605983912, Timestamp: 1754491029668
Rotation: -0.03273046487426967, Roll: 1.0404709879173848, Pitch: 29.012545823838707, Yaw: -25.803744004120702, Timestamp: 1754491029658
Rotation: -0.03385232698586105, Roll: 1.0810203082601924, Pitch: 29.12205942974984, Yaw: -25.488762335169753, Timestamp: 1754491029649
Rotation: -0.035978107206245724, Roll: 1.154024092042144, Pitch: 29.22909375255974, Yaw: -25.168400025517137, Timestamp: 1754491029638
Rotation: -0.03890651889624719, Roll: 1.2532373039832343, Pitch: 29.330248132415782, Yaw: -24.84077238586578, Timestamp: 1754491029628
Rotation: -0.042020957449414365, Roll: 1.3591456261831198, Pitch: 29.42874807724548, Yaw: -24.50704261166933, Timestamp: 1754491029618
Rotation: -0.044574971264011776, Roll: 1.448036260352936, Pitch: 29.533353738174895, Yaw: -24.170301285006644, Timestamp: 1754491029608
Rotation: -0.04607622580470583, Roll: 1.5042394745562828, Pitch: 29.653930157745183, Yaw: -23.833951098183924, Timestamp: 1754491029599
Rotation: -0.04614504756897109, Roll: 1.5154497991232085, Pitch: 29.80019854170359, Yaw: -23.49877118873742, Timestamp: 1754491029589
Rotation: -0.04479996647699469, Roll: 1.4819837852739757, Pitch: 29.980847594392728, Yaw: -23.16200080421184, Timestamp: 1754491029579
Rotation: -0.04264905846240108, Roll: 1.4230757680399593, Pitch: 30.197389205206772, Yaw: -22.81707100551192, Timestamp: 1754491029569
Rotation: -0.04028918653724478, Roll: 1.357834704420914, Pitch: 30.4487689937782, Yaw: -22.459607457316768, Timestamp: 1754491029559
Rotation: -0.0379575684358171, Roll: 1.2938764474797921, Pitch: 30.735794488972555, Yaw: -22.08761277954795, Timestamp: 1754491029549
Rotation: -0.035789287910201306, Roll: 1.2356624955790043, Pitch: 31.06010061853857, Yaw: -21.706476664844775, Timestamp: 1754491029539
Rotation: -0.03368347923045434, Roll: 1.1796948828695284, Pitch: 31.424574449592107, Yaw: -21.323311166536502, Timestamp: 1754491029529
Rotation: -0.031265898002956316, Roll: 1.1123872671547546, Pitch: 31.828577113209008, Yaw: -20.946335858422962, Timestamp: 1754491029519
Rotation: -0.028357116173265418, Roll: 1.0260434717249403, Pitch: 32.26455337588048, Yaw: -20.583410134945453, Timestamp: 1754491029509
Rotation: -0.02497999109467086, Roll: 0.9200440270948524, Pitch: 32.72743932244192, Yaw: -20.235621167136106, Timestamp: 1754491029499
Rotation: -0.021364696396179994, Roll: 0.8014446704942959, Pitch: 33.20863654872722, Yaw: -19.902274531743274, Timestamp: 1754491029489
Rotation: -0.017872015460967283, Roll: 0.6829088448005686, Pitch: 33.69623508998463, Yaw: -19.58135307242104, Timestamp: 1754491029479
Rotation: -0.014890566232599767, Roll: 0.5794174692683065, Pitch: 34.179476182216966, Yaw: -19.269475546279047, Timestamp: 1754491029469
Rotation: -0.012751389705849103, Roll: 0.5049938550322951, Pitch: 34.650564293621365, Yaw: -18.958944276875666, Timestamp: 1754491029459
Rotation: -0.011509423351357295, Roll: 0.4636807663185566, Pitch: 35.111169337726814, Yaw: -18.653282690462397, Timestamp: 1754491029449
Rotation: -0.010992140311953058, Roll: 0.4503049974609236, Pitch: 35.56313717057542, Yaw: -18.361716419162235, Timestamp: 1754491029439
Rotation: -0.01114740823907745, Roll: 0.46423729898219296, Pitch: 36.010020939913495, Yaw: -18.090293629052965, Timestamp: 1754491029429
Rotation: -0.011586383232487396, Roll: 0.4903957647751606, Pitch: 36.45223303764845, Yaw: -17.83719183732578, Timestamp: 1754491029419
Rotation: -0.011990853101032428, Roll: 0.5156520578522225, Pitch: 36.88864934052958, Yaw: -17.59946122346843, Timestamp: 1754491029409
Rotation: -0.01235140592445827, Roll: 0.5394488944070341, Pitch: 37.31552847292878, Yaw: -17.367093452718752, Timestamp: 1754491029399
Rotation: -0.012836221358885957, Roll: 0.5690349391239576, Pitch: 37.72755745680886, Yaw: -17.134666275417626, Timestamp: 1754491029389
Rotation: -0.013213691520617132, Roll: 0.5941001161658566, Pitch: 38.119746748575075, Yaw: -16.89141723848055, Timestamp: 1754491029379
Rotation: -0.012970932572313743, Roll: 0.5909634074228585, Pitch: 38.48904190540768, Yaw: -16.62910980374577, Timestamp: 1754491029369
Rotation: -0.011926635628676685, Roll: 0.5500416666354615, Pitch: 38.82967301752061, Yaw: -16.347303859656257, Timestamp: 1754491029359
Rotation: -0.010327847456614858, Roll: 0.4815409075240101, Pitch: 39.13627601629485, Yaw: -16.04596738137387, Timestamp: 1754491029349
Rotation: -0.00856774274361749, Roll: 0.40324055675866466, Pitch: 39.400088878784906, Yaw: -15.728830439202955, Timestamp: 1754491029339
Rotation: -0.0067316026597001866, Roll: 0.31918786796830323, Pitch: 39.60960108599385, Yaw: -15.402570351731088, Timestamp: 1754491029329
Rotation: -0.004689932653438422, Roll: 0.22351094560485962, Pitch: 39.752798543875194, Yaw: -15.072182340809094, Timestamp: 1754491029319
Rotation: -0.002300586660261228, Roll: 0.1099346049207853, Pitch: 39.82850258917229, Yaw: -14.736792723614082, Timestamp: 1754491029309
Rotation: -6.2826464651676455, Roll: -0.025762713030435935, Pitch: 39.843774831394946, Yaw: -14.401042967072604, Timestamp: 1754491029299
Rotation: -6.279553074762562, Roll: -0.17344650142952217, Pitch: 39.808685013430406, Yaw: -14.072001568244694, Timestamp: 1754491029289
Rotation: -6.276251201180205, Roll: -0.33016489913745434, Pitch: 39.72706131798814, Yaw: -13.746328844357254, Timestamp: 1754491029279
Rotation: -6.272793072562918, Roll: -0.4926107000860531, Pitch: 39.6001963574335, Yaw: -13.423327153608478, Timestamp: 1754491029269
Rotation: -6.269233020701127, Roll: -0.6572086826573268, Pitch: 39.42187217146035, Yaw: -13.105373715151488, Timestamp: 1754491029259
Rotation: -6.2656982665949394, Roll: -0.8168667375907943, Pitch: 39.186215744801586, Yaw: -12.788484320262791, Timestamp: 1754491029249
Rotation: -6.262391652962027, Roll: -0.9612747792455341, Pitch: 38.89305745655351, Yaw: -12.472481255122954, Timestamp: 1754491029239
Rotation: -6.259415393208473, Roll: -1.085428395980315, Pitch: 38.547443173098564, Yaw: -12.159123716345134, Timestamp: 1754491029233
Rotation: -6.256720131599986, Roll: -1.1917917032732206, Pitch: 38.15758626455247, Yaw: -11.852390337436468, Timestamp: 1754491029230
Rotation: -6.254070425938529, Roll: -1.2914117865207184, Pitch: 37.73518546885177, Yaw: -11.553069366451197, Timestamp: 1754491029209
Rotation: -6.251371657753673, Roll: -1.388743897832707, Pitch: 37.29099394660396, Yaw: -11.25725530392354, Timestamp: 1754491029199
Rotation: -6.248594979649292, Roll: -1.4848360341042373, Pitch: 36.82672388843509, Yaw: -10.959356327542226, Timestamp: 1754491029189
Rotation: -6.245648939927978, Roll: -1.5830220024316317, Pitch: 36.338898330491844, Yaw: -10.65353679956512, Timestamp: 1754491029179
Rotation: -6.24271520983787, Roll: -1.6747577233440152, Pitch: 35.82044903898417, Yaw: -10.331568495116956, Timestamp: 1754491029169
