Rotation: -0.8994281155213519, Roll: 1.9149897117029193, Pitch: 1.5207873996690813, Yaw: -0.14124554975937542, Timestamp: 1754490654152
Rotation: -0.8995303361972984, Roll: 1.9150018034274068, Pitch: 1.5204779920528737, Yaw: -0.14095590487905557, Timestamp: 1754490654142
Rotation: -0.8996038107991904, Roll: 1.9152120643719697, Pitch: 1.5204154242763324, Yaw: -0.14089320371274458, Timestamp: 1754490654132
Rotation: -0.8996496358074979, Roll: 1.9154973669893682, Pitch: 1.5204987265740046, Yaw: -0.1408947933538564, Timestamp: 1754490654122
Rotation: -0.8993743243497558, Roll: 1.9151058273437476, Pitch: 1.5210473745637105, Yaw: -0.14082851230379007, Timestamp: 1754490654112
Rotation: -0.8992455410261471, Roll: 1.915109979415528, Pitch: 1.5214526923901437, Yaw: -0.14054491776265496, Timestamp: 1754490654102
Rotation: -0.8992877350820021, Roll: 1.915296961536647, Pitch: 1.5214694494823975, Yaw: -0.1404339989482006, Timestamp: 1754490654092
Rotation: -0.8993690406170147, Roll: 1.9155396015464734, Pitch: 1.5214081508424315, Yaw: -0.1404586127715702, Timestamp: 1754490654081
Rotation: -0.8991193368928956, Roll: 1.9153889891756615, Pitch: 1.5220684578833779, Yaw: -0.14075368091304935, Timestamp: 1754490654072
Rotation: -0.8991473309121645, Roll: 1.9155602936587581, Pitch: 1.5221169008521536, Yaw: -0.14128758688439172, Timestamp: 1754490654062
Rotation: -0.8991456940573559, Roll: 1.9157151318057888, Pitch: 1.52224493356427, Yaw: -0.14121572818724457, Timestamp: 1754490654051
Rotation: -0.8990659258123066, Roll: 1.9156378529156686, Pitch: 1.5224327482517412, Yaw: -0.14077029148809664, Timestamp: 1754490654047
Rotation: -0.8988646633995416, Roll: 1.91526385425195, Pitch: 1.5227645195347448, Yaw: -0.1402762828249694, Timestamp: 1754490654045
Rotation: -0.898810909176095, Roll: 1.9153692769992028, Pitch: 1.523016122351188, Yaw: -0.1401167660931081, Timestamp: 1754490654021
Rotation: -0.8988563678435852, Roll: 1.9158454483207379, Pitch: 1.523252437182336, Yaw: -0.14039206534413465, Timestamp: 1754490654012
Rotation: -0.8988390887825748, Roll: 1.9157931890355762, Pitch: 1.5232649730453132, Yaw: -0.14010915942778218, Timestamp: 1754490654001
Rotation: -0.8985440436291947, Roll: 1.9160837281412813, Pitch: 1.5244181701909358, Yaw: -0.138888160033206, Timestamp: 1754490653991
Rotation: -0.8979138048628394, Roll: 1.9157011455904804, Pitch: 1.5260855062593348, Yaw: -0.13796082576116198, Timestamp: 1754490653982
Rotation: -0.8974770016291163, Roll: 1.9150388972076482, Pitch: 1.5269254389797549, Yaw: -0.1382332511571537, Timestamp: 1754490653971
Rotation: -0.8971946745438153, Roll: 1.9145933949817913, Pitch: 1.5274543137339587, Yaw: -0.1412464999670457, Timestamp: 1754490653962
Rotation: -0.8968533148126303, Roll: 1.913974329149061, Pitch: 1.528029734754979, Yaw: -0.14425460453672415, Timestamp: 1754490653952
Rotation: -0.8966510530650664, Roll: 1.913462267112447, Pitch: 1.5282546745872587, Yaw: -0.14509518203413638, Timestamp: 1754490653942
Rotation: -0.8972185799655907, Roll: 1.9138268262154787, Pitch: 1.5267684634969638, Yaw: -0.14491308662464314, Timestamp: 1754490653932
Rotation: -0.8975495749924987, Roll: 1.9141038856178452, Pitch: 1.5259534277095732, Yaw: -0.1420955594770607, Timestamp: 1754490653921
Rotation: -0.8993754517180963, Roll: 1.9160901959277399, Pitch: 1.5218251498609066, Yaw: -0.1413694189836076, Timestamp: 1754490653911
Rotation: -0.8993098082180708, Roll: 1.9161006869759871, Pitch: 1.5220384027774614, Yaw: -0.14164033668230078, Timestamp: 1754490653902
Rotation: -0.8993329488030679, Roll: 1.9165220546438415, Pitch: 1.5223005271208636, Yaw: -0.14175601015284744, Timestamp: 1754490653891
Rotation: -0.8994157978451671, Roll: 1.9166690257137888, Pitch: 1.5221583824014981, Yaw: -0.1416454974136169, Timestamp: 1754490653881
Rotation: -0.8993547845369969, Roll: 1.91664509812461, Pitch: 1.5223299418685574, Yaw: -0.14150974636811064, Timestamp: 1754490653872
Rotation: -0.8994856628065047, Roll: 1.9170506721719158, Pitch: 1.5222430226886599, Yaw: -0.14156873479027662, Timestamp: 1754490653862
Rotation: -0.8992910876186526, Roll: 1.9168214886323207, Pitch: 1.5226689206378292, Yaw: -0.1416444667396046, Timestamp: 1754490653851
Rotation: -0.8992320768115172, Roll: 1.9163160650989102, Pitch: 1.522452150157884, Yaw: -0.14172178215136058, Timestamp: 1754490653841
Rotation: -0.8990032217387753, Roll: 1.9157561504789433, Pitch: 1.5227225330367047, Yaw: -0.14145745323333148, Timestamp: 1754490653831
Rotation: -0.8989114549512967, Roll: 1.9149659025739254, Pitch: 1.5223816364832785, Yaw: -0.14139419267644576, Timestamp: 1754490653821
Rotation: -0.8989155981777031, Roll: 1.9145797448214426, Pitch: 1.5220619689139117, Yaw: -0.14183346139224517, Timestamp: 1754490653811
Rotation: -0.8991466447226313, Roll: 1.9148477611973458, Pitch: 1.5215533437716233, Yaw: -0.1417734730337359, Timestamp: 1754490653801
Rotation: -0.8991318231253125, Roll: 1.9149148547330423, Pitch: 1.5216529252802873, Yaw: -0.1412452183513067, Timestamp: 1754490653791
Rotation: -0.8992685701434735, Roll: 1.9153881061383424, Pitch: 1.5216016092161335, Yaw: -0.1412296384997369, Timestamp: 1754490653781
Rotation: -0.899367388265985, Roll: 1.915538635019216, Pitch: 1.5214126469273943, Yaw: -0.14141242299128878, Timestamp: 1754490653771
Rotation: -0.8992043602916846, Roll: 1.9149643181190579, Pitch: 1.5214656776782711, Yaw: -0.14140206868192795, Timestamp: 1754490653761
Rotation: -0.8990466366735346, Roll: 1.9148694509799171, Pitch: 1.521882755344982, Yaw: -0.14132812343255788, Timestamp: 1754490653751
Rotation: -0.8991104275293642, Roll: 1.914820726943034, Pitch: 1.5216449558297651, Yaw: -0.14091798212304005, Timestamp: 1754490653742
Rotation: -0.8988841194332204, Roll: 1.9143550570185046, Pitch: 1.5219817213854543, Yaw: -0.14127009532502188, Timestamp: 1754490653732
Rotation: -0.8988383219852434, Roll: 1.9141656457541232, Pitch: 1.521974343182539, Yaw: -0.14152525107867836, Timestamp: 1754490653721
Rotation: -0.8987401044655141, Roll: 1.914164952943092, Pitch: 1.522280437751656, Yaw: -0.14157960019470858, Timestamp: 1754490653711
Rotation: -0.8988140625788512, Roll: 1.914105679081832, Pitch: 1.5220024933798266, Yaw: -0.141356191866824, Timestamp: 1754490653701
Rotation: -0.8989401262191086, Roll: 1.9141005482651456, Pitch: 1.5216047118565907, Yaw: -0.1410272180853354, Timestamp: 1754490653691
Rotation: -0.8990633692262215, Roll: 1.9142404185518866, Pitch: 1.521331036337163, Yaw: -0.14137578598826858, Timestamp: 1754490653682
Rotation: -0.8991537959014013, Roll: 1.913964432387101, Pitch: 1.5208298454244735, Yaw: -0.14111754248599342, Timestamp: 1754490653671
Rotation: -0.8993112356778226, Roll: 1.9141739323249207, Pitch: 1.5205048442107558, Yaw: -0.14143133615171447, Timestamp: 1754490653661
Rotation: -0.8994412210089213, Roll: 1.9143067302061347, Pitch: 1.5202045293189206, Yaw: -0.1415077406689276, Timestamp: 1754490653651
Rotation: -0.8994708024639309, Roll: 1.914807212009404, Pitch: 1.5205093849917957, Yaw: -0.14185115436764734, Timestamp: 1754490653641
Rotation: -0.8994507374714731, Roll: 1.9148592267943354, Pitch: 1.5206133025237694, Yaw: -0.14212079198172695, Timestamp: 1754490653631
Rotation: -0.8994006332431255, Roll: 1.9149466982594112, Pitch: 1.5208389977096868, Yaw: -0.14217055463801453, Timestamp: 1754490653621
Rotation: -0.8996902345185931, Roll: 1.9149660238082509, Pitch: 1.5199506682322625, Yaw: -0.14180187608116618, Timestamp: 1754490653611
Rotation: -0.8999951358326221, Roll: 1.9154121436796, Pitch: 1.5193532986428182, Yaw: -0.14153060016495023, Timestamp: 1754490653601
