Rotation: -0.8743845942454489, Roll: 1.9108464949742088, Pitch: 1.5970880904893312, Yaw: -0.10535033002527942, Timestamp: 1754490398417
Rotation: -0.874547588957348, Roll: 1.9111408969911792, Pitch: 1.596805132483225, Yaw: -0.10493258411483211, Timestamp: 1754490398407
Rotation: -0.8744227782477441, Roll: 1.9110519670647557, Pitch: 1.5971356475821261, Yaw: -0.10479634011381422, Timestamp: 1754490398397
Rotation: -0.8744707941558807, Roll: 1.911157389076925, Pitch: 1.5970680485366375, Yaw: -0.10413115455514559, Timestamp: 1754490398386
Rotation: -0.8744126600941882, Roll: 1.9110516082687068, Pitch: 1.5971683709855056, Yaw: -0.10365779769241677, Timestamp: 1754490398377
Rotation: -0.8743134142471414, Roll: 1.9107340048469825, Pitch: 1.5972251002433921, Yaw: -0.10337770178987406, Timestamp: 1754490398367
Rotation: -0.8743187158364316, Roll: 1.910645083620129, Pitch: 1.5971335049104383, Yaw: -0.10400062796858867, Timestamp: 1754490398357
Rotation: -0.8741294852624386, Roll: 1.9100986081536362, Pitch: 1.5972908216699817, Yaw: -0.10456986962782926, Timestamp: 1754490398347
Rotation: -0.8741818672322887, Roll: 1.9098991491228827, Pitch: 1.5969542432983457, Yaw: -0.10506988497437204, Timestamp: 1754490398336
Rotation: -0.8742566989084781, Roll: 1.9100689058232547, Pitch: 1.596853447059652, Yaw: -0.1048431986597872, Timestamp: 1754490398327
Rotation: -0.8743190491005381, Roll: 1.910710236042441, Pitch: 1.597186918532294, Yaw: -0.10458248273692529, Timestamp: 1754490398317
Rotation: -0.8743252065834088, Roll: 1.9107792622743485, Pitch: 1.5972246112497432, Yaw: -0.10451740902830467, Timestamp: 1754490398306
Rotation: -0.8745323763175223, Roll: 1.9114363571028206, Pitch: 1.597101176780797, Yaw: -0.10382275305899699, Timestamp: 1754490398297
Rotation: -0.8744527387248748, Roll: 1.9111827545988194, Pitch: 1.5971478732321711, Yaw: -0.10333841208418335, Timestamp: 1754490398287
Rotation: -0.8744760473657203, Roll: 1.9115316380174883, Pitch: 1.597363506846559, Yaw: -0.1033997126932088, Timestamp: 1754490398277
Rotation: -0.8748757864431589, Roll: 1.912208273163405, Pitch: 1.5966314697347972, Yaw: -0.10428623741386274, Timestamp: 1754490398267
Rotation: -0.8750239267493951, Roll: 1.9128596652349206, Pitch: 1.5966943189565939, Yaw: -0.10517184849886524, Timestamp: 1754490398257
Rotation: -0.8752042075029829, Roll: 1.9130638163503064, Pitch: 1.596279771391203, Yaw: -0.10554506767508998, Timestamp: 1754490398247
Rotation: -0.8753240812964007, Roll: 1.9131605147488155, Pitch: 1.5959716939325503, Yaw: -0.10582590358095854, Timestamp: 1754490398237
Rotation: -0.875279888332607, Roll: 1.913054082348194, Pitch: 1.5960262866685075, Yaw: -0.10615339373868014, Timestamp: 1754490398226
Rotation: -0.8753463112957336, Roll: 1.913486311974828, Pitch: 1.5961710287633133, Yaw: -0.10584677780619582, Timestamp: 1754490398217
Rotation: -0.8753213226976726, Roll: 1.9137439775528182, Pitch: 1.596466970274318, Yaw: -0.10561051596756861, Timestamp: 1754490398207
Rotation: -0.8752077655583572, Roll: 1.9135702409616475, Pitch: 1.5966904427605624, Yaw: -0.10593989008483896, Timestamp: 1754490398197
Rotation: -0.8753711001775484, Roll: 1.9139347051098627, Pitch: 1.596464496331219, Yaw: -0.1058897455310124, Timestamp: 1754490398187
Rotation: -0.8754661851737433, Roll: 1.913742269625906, Pitch: 1.5959956292135415, Yaw: -0.1059212703276635, Timestamp: 1754490398177
Rotation: -0.8754930055929719, Roll: 1.9132497188322417, Pitch: 1.595498405600035, Yaw: -0.1062551761411748, Timestamp: 1754490398167
Rotation: -0.8753741383170532, Roll: 1.913016785167674, Pitch: 1.595689465618399, Yaw: -0.10694167393484422, Timestamp: 1754490398157
Rotation: -0.8752250472500545, Roll: 1.9129767605466137, Pitch: 1.596139595030933, Yaw: -0.10759673665043401, Timestamp: 1754490398147
Rotation: -0.8752346099957427, Roll: 1.9129523137461004, Pitch: 1.596088201034096, Yaw: -0.10817559064783992, Timestamp: 1754490398137
Rotation: -0.8751161422048339, Roll: 1.9125254088854264, Pitch: 1.5961164972011226, Yaw: -0.10850038694590777, Timestamp: 1754490398127
Rotation: -0.8750491281793789, Roll: 1.9125840774592469, Pitch: 1.5963826754552652, Yaw: -0.10834632373500315, Timestamp: 1754490398117
Rotation: -0.8750088124273243, Roll: 1.9134664228531881, Pitch: 1.5972492393317606, Yaw: -0.10799498272023261, Timestamp: 1754490398106
